stock,config,trade_count,win%,protrades%,eff%,total_pnl,pnl_per_share
TATASTEEL,Extreme-4,2407,14.25,39.76,-0.0432,-34632.18,-0.055
TECHM,Extreme-1,2716,19.62,41.53,-0.0258,-22857.57,-0.3311
TECHM,Extreme-2,2716,16.49,40.91,-0.0214,-18946.52,-0.2744
TECHM,Extreme-3,2716,17.05,43.45,-0.0237,-20994.97,-0.3041
TECHM,Extreme-4,2716,13.59,43.11,-0.022,-19512.61,-0.2826
VEDL,Extreme-1,2232,22.58,41.62,-0.0208,-15400.55,-0.0626
VEDL,Extreme-2,2232,19.04,40.99,-0.018,-13308.69,-0.0541
VEDL,Extreme-3,2232,20.25,43.5,-0.0203,-15018.38,-0.0611
VEDL,Extreme-4,2232,17.61,43.15,-0.0077,-5668.6,-0.023
VI,Extreme-1,4014,11.96,33.81,-0.1141,-152631.95,-0.0103
VI,Extreme-2,4014,9.32,33.33,-0.1227,-164168.29,-0.0111
VI,Extreme-3,4014,9.62,34.21,-0.1218,-162880.49,-0.011
VI,Extreme-4,4014,8.12,34.03,-0.1197,-160152.5,-0.0109
WIPRO,Extreme-1,2468,16.33,37.07,-0.0641,-52558.85,-0.1496
WIPRO,Extreme-2,2468,13.37,36.35,-0.0668,-54728.38,-0.1558
WIPRO,Extreme-3,2468,13.78,37.97,-0.075,-61494.68,-0.175
WIPRO,Extreme-4,2468,10.9,37.76,-0.0753,-61696.8,-0.1756
