signal_id,date,pass,outcome,pnl,ER,run_length_mean,VR
S470,2022-05-13,False,EOD+,1.8,0.0034,8.43,0.8769
S471,2022-05-13,False,EOD+,1.95,0.0034,8.43,0.8769
S472,2022-05-13,False,W,2.4589,0.0034,8.43,0.8769
S473,2022-05-13,True,W,2.2018,0.0034,8.43,0.8769
S474,2022-05-13,False,EOD+,1.3,0.0034,8.43,0.8769
S475,2022-05-13,False,W,1.8482,0.0034,8.43,0.8769
S476,2022-05-13,False,W,1.4946,0.0034,8.43,0.8769
S477,2022-05-16,False,L,-2.5536,0.0109,8.29,0.861
S478,2022-05-16,False,EOD+,0.9,0.0109,8.29,0.861
S479,2022-05-16,False,EOD+,0.9,0.0109,8.29,0.861
S480,2022-05-16,False,EOD+,0.45,0.0109,8.29,0.861
S481,2022-05-16,False,EOD-,-0.25,0.0109,8.29,0.861
S482,2022-05-16,False,EOD-,-0.3,0.0109,8.29,0.861
S483,2022-05-16,False,EOD-,-0.15,0.0109,8.29,0.861
S484,2022-05-17,False,EOD+,1.95,0.0156,8.02,0.8589
S485,2022-05-17,False,W,2.5714,0.0156,8.02,0.8589
S486,2022-05-17,False,W,2.0411,0.0156,8.02,0.8589
S487,2022-05-17,False,W,1.4464,0.0156,8.02,0.8589
S488,2022-05-17,False,W,1.4946,0.0156,8.02,0.8589
S489,2022-05-17,False,W,1.2214,0.0156,8.02,0.8589
S490,2022-05-19,False,W,1.6875,0.0025,9.09,0.8463
S491,2022-05-19,False,W,2.2661,0.0025,9.09,0.8463
S492,2022-05-19,False,W,2.4589,0.0025,9.09,0.8463
S493,2022-05-19,False,W,2.7964,0.0025,9.09,0.8463
S494,2022-05-19,False,W,2.6518,0.0025,9.09,0.8463
S495,2022-05-19,False,W,2.6839,0.0025,9.09,0.8463
S496,2022-05-20,False,L,-1.0714,0.0059,9.15,0.8628
S497,2022-05-20,False,EOD+,0.35,0.0059,9.15,0.8628
S498,2022-05-23,False,L,-1.2946,0.0009,9.2,0.8752
S499,2022-05-23,False,L,-1.0268,0.0009,9.2,0.8752
S500,2022-05-23,False,L,-0.8125,0.0009,9.2,0.8752
S501,2022-05-23,False,L,-0.75,0.0009,9.2,0.8752
S502,2022-05-23,False,L,-0.7768,0.0009,9.2,0.8752
S503,2022-05-23,False,L,-0.9911,0.0009,9.2,0.8752
S504,2022-05-23,False,L,-1.0179,0.0009,9.2,0.8752
