signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,pnl,outcome
S039,POWERGRID,2022-01-11 14:35:00+05:30,-0.0134,0.0234,0,,2.1146,50.0,-0.7241,0,2.1969,1.0,9,1,1,0,9,10,0.25,EOD+
S040,POWERGRID,2022-01-12 10:40:00+05:30,0.2242,0.2461,17,8.0,0.1928,25.0,0.0526,0,0.5663,,0,1,1,1,0,1,-0.6161,L
S041,POWERGRID,2022-01-12 10:50:00+05:30,0.2058,0.2243,0,,0.6897,66.67,-0.403,0,0.6285,,0,1,0,1,0,1,-0.6071,L
S042,POWERGRID,2022-01-12 11:00:00+05:30,0.141,0.2158,1,1.0,0.2015,60.0,0.0526,0,0.6173,,0,0,0,1,0,1,-0.5893,L
S043,POWERGRID,2022-01-12 11:10:00+05:30,0.078,0.1725,0,,0.9692,0.0,-0.1111,0,1.9281,0.0,4,0,0,0,4,5,-0.5804,L
S044,POWERGRID,2022-01-12 11:40:00+05:30,-0.0199,0.0265,0,,0.0656,60.0,2.3333,0,1.5084,,0,0,1,1,0,1,-0.5714,L
S045,POWERGRID,2022-01-12 12:05:00+05:30,0.0547,-0.0066,3,1.0,0.1478,57.14,3.2105,0,1.242,,0,0,0,1,0,1,-0.8036,L
S046,POWERGRID,2022-01-12 12:20:00+05:30,0.0597,0.0547,2,2.0,0.1707,0.0,2.0,0,0.3067,,0,0,1,1,0,1,-0.7321,L
S047,POWERGRID,2022-01-12 12:30:00+05:30,0.0431,0.068,0,,0.5482,33.33,-0.3846,0,0.4939,1.0,1,0,1,0,1,2,-0.7411,L
S048,POWERGRID,2022-01-12 12:45:00+05:30,0.0149,0.0431,0,,0.8976,0.0,-0.4495,0,2.1728,1.0,5,0,0,0,5,6,-0.7589,L
S049,POWERGRID,2022-01-12 14:10:00+05:30,-0.1063,-0.1062,0,,1.8421,100.0,-1.0,0,1.2978,1.0,9,0,1,0,9,10,-0.5089,L
S050,POWERGRID,2022-01-14 09:15:00+05:30,,,0,,6.0822,47.62,-0.5396,0,0.4837,0.0,1,1,1,0,1,2,0.7232,W
S051,POWERGRID,2022-01-14 09:55:00+05:30,0.1064,0.1032,6,4.0,0.0356,55.56,9.0,0,0.2183,,0,0,0,1,0,1,-1.0536,L
S052,POWERGRID,2022-01-14 11:40:00+05:30,-0.2196,-0.2079,0,,2.834,0.0,-0.8082,0,6.5517,1.0,9,0,0,0,9,10,-0.55,EOD-
S053,POWERGRID,2022-01-14 13:55:00+05:30,0.0788,0.0919,17,17.0,0.28,14.29,-0.0909,0,1.4778,1.0,1,1,0,0,1,2,-0.2,EOD-
S054,POWERGRID,2022-01-14 14:10:00+05:30,0.0525,0.0788,1,1.0,0.77,83.33,-0.697,0,0.9221,1.0,9,0,1,0,9,10,-0.5357,L
S055,POWERGRID,2022-01-14 15:05:00+05:30,-0.0246,-0.0197,0,,1.0904,75.0,-0.7531,0,1.6475,1.0,3,0,1,0,3,4,-0.15,EOD-
S056,POWERGRID,2022-01-17 09:30:00+05:30,,,3,3.0,0.6617,46.67,-0.5041,0,0.1732,0.0,6,1,1,0,6,7,-1.1429,L
S057,POWERGRID,2022-01-17 10:10:00+05:30,0.0328,-0.0066,0,,0.0967,25.0,1.3529,0,0.202,,0,0,0,1,0,1,-1.0982,L
S058,POWERGRID,2022-01-17 10:20:00+05:30,0.0295,0.0197,0,,0.8514,12.5,-0.2593,0,1.6024,1.0,4,1,0,0,4,5,-0.9911,L
S059,POWERGRID,2022-01-17 13:40:00+05:30,-0.0576,-0.0444,0,,2.3139,0.0,-0.8319,0,4.2494,1.0,9,0,0,0,9,10,-0.3214,L
S060,POWERGRID,2022-01-18 09:15:00+05:30,,,0,,1.0896,73.33,-0.6648,0,0.4724,,0,1,0,1,0,1,-1.0268,L
S061,POWERGRID,2022-01-18 09:30:00+05:30,,,2,2.0,0.6556,81.25,-0.661,0,0.6467,1.0,6,0,0,0,6,7,-1.125,L
S062,POWERGRID,2022-01-18 10:15:00+05:30,-0.0033,-0.0776,1,1.0,0.1653,83.33,0.1765,0,0.3649,,0,0,0,1,0,1,-1.2857,L
S063,POWERGRID,2022-01-18 10:25:00+05:30,0.0396,-0.0314,0,,0.2526,78.57,0.25,0,0.5135,,0,0,0,1,0,1,-1.1875,L
S064,POWERGRID,2022-01-18 10:55:00+05:30,0.0627,0.0693,5,4.0,0.1155,0.0,1.5,0,0.4516,,0,0,1,1,0,1,-0.8661,L
S065,POWERGRID,2022-01-18 11:05:00+05:30,-0.0066,0.0825,0,,0.0894,33.33,-1.0,0,0.3402,,0,0,0,1,0,1,-0.8393,L
S066,POWERGRID,2022-01-18 11:15:00+05:30,-0.0264,0.0264,0,,0.1855,50.0,-1.0,0,0.5207,1.0,1,0,0,0,1,2,-0.7411,L
S067,POWERGRID,2022-01-19 09:15:00+05:30,,,0,,6.58,30.99,-0.166,0,1.1329,0.0,1,0,0,0,1,2,-1.1161,L
S068,POWERGRID,2022-01-19 10:25:00+05:30,0.1227,0.0946,12,8.0,0.3456,28.57,-0.2405,0,0.2447,0.0,1,1,0,0,1,2,-1.4286,L
S069,POWERGRID,2022-01-19 11:45:00+05:30,-0.2313,-0.241,0,,2.2494,0.0,-0.7902,0,1.337,1.0,9,1,0,0,9,10,0.7,EOD+
S070,POWERGRID,2022-01-19 12:50:00+05:30,0.015,-0.147,3,2.0,0.0753,0.0,5.0,0,1.5765,,0,0,0,1,0,1,0.65,EOD+
S071,POWERGRID,2022-01-19 13:00:00+05:30,0.0518,-0.0317,0,,0.5444,100.0,-1.0,0,1.2807,,0,0,0,1,0,1,0.65,EOD+
S072,POWERGRID,2022-01-19 13:10:00+05:30,0.02,0.0401,0,,0.1155,66.67,-1.0,0,1.1576,1.0,1,0,0,0,1,2,0.7,EOD+
S073,POWERGRID,2022-01-19 13:25:00+05:30,0.01,0.02,0,,0.3071,25.0,0.3953,0,0.5028,,0,0,1,1,0,1,0.75,EOD+
S074,POWERGRID,2022-01-19 13:35:00+05:30,0.0067,0.0117,0,,0.7447,75.0,-1.0,0,2.0154,1.0,3,0,0,0,3,4,0.5,EOD+
S075,POWERGRID,2022-01-19 14:00:00+05:30,0.0083,-0.005,0,,1.3013,33.33,-0.7241,0,1.3568,0.0,7,0,1,0,7,8,0.7,EOD+
S076,POWERGRID,2022-01-19 14:45:00+05:30,-0.0267,-0.0969,0,,0.3788,85.71,-0.5652,0,1.9048,,0,0,0,1,0,1,0.65,EOD+
S077,POWERGRID,2022-01-19 14:55:00+05:30,-0.0234,-0.0585,0,,0.7233,100.0,-1.0,0,1.3851,0.0,3,1,0,0,3,4,0.5,EOD+
S078,POWERGRID,2022-01-20 11:35:00+05:30,0.219,0.2708,28,4.0,0.1037,25.0,2.75,0,0.645,,0,1,0,1,0,1,1.7357,W
S079,POWERGRID,2022-01-20 12:20:00+05:30,-0.0258,-0.0242,0,,1.2875,11.11,-0.6117,0,2.0567,1.0,9,1,0,0,9,10,1.8,W
S080,POWERGRID,2022-01-20 13:20:00+05:30,-0.0258,-0.0677,2,2.0,0.6356,55.56,0.0127,0,1.7574,,0,0,0,1,0,1,1.3982,W
S081,POWERGRID,2022-01-20 13:35:00+05:30,-0.029,-0.0258,1,1.0,0.2427,25.0,1.3077,0,0.4924,,0,0,0,1,0,1,1.2054,W
S082,POWERGRID,2022-01-20 13:45:00+05:30,-0.0113,-0.0339,1,1.0,0.1217,66.67,0.6667,0,0.563,,0,0,1,1,0,1,1.1089,W
S083,POWERGRID,2022-01-20 13:55:00+05:30,0.0081,-0.0258,0,,1.2274,87.5,-1.0,0,1.0632,1.0,9,1,1,0,9,10,1.1732,W
S084,POWERGRID,2022-01-21 10:20:00+05:30,0.6165,0.8282,13,8.0,0.1243,53.85,-0.5652,0,0.3255,0.0,1,0,1,0,1,2,-2.3125,L
S085,POWERGRID,2022-01-21 11:55:00+05:30,-0.2302,-0.2724,0,,1.6901,55.56,-0.7015,0,0.6409,0.0,9,0,0,0,9,10,-0.9911,L
S086,POWERGRID,2022-01-21 12:50:00+05:30,-0.0458,-0.041,0,,1.1642,100.0,-1.0,0,0.4903,0.0,4,0,1,0,4,5,-0.8482,L
S087,POWERGRID,2022-01-21 14:05:00+05:30,-0.0839,-0.0823,0,,0.6231,25.0,-1.0,0,1.1397,0.0,9,0,0,0,9,10,0.05,EOD+
S088,POWERGRID,2022-01-21 15:00:00+05:30,-0.1334,-0.1715,0,,0.1452,100.0,-1.0,0,2.5794,,0,1,0,1,0,1,-0.7,EOD-
S089,POWERGRID,2022-01-21 15:20:00+05:30,0.0461,-0.0588,3,3.0,0.0444,0.0,5.6667,0,2.2585,,0,0,0,1,0,1,-0.15,EOD-
S090,POWERGRID,2022-01-24 09:30:00+05:30,,,3,2.0,0.1791,38.46,4.0909,0,1.0715,,0,0,0,1,0,1,-1.9196,L
S091,POWERGRID,2022-01-24 09:50:00+05:30,0.171,,3,3.0,0.2005,40.0,-0.6825,0,0.365,0.0,3,0,0,0,3,4,-1.9643,L
S092,POWERGRID,2022-01-24 11:05:00+05:30,-0.27,-0.1522,0,,2.0209,55.56,-0.8193,0,1.8316,1.0,9,0,0,0,9,10,-1.0268,L
S093,POWERGRID,2022-01-24 12:15:00+05:30,-0.0734,-0.1628,3,1.0,0.0988,20.0,2.3333,0,3.2693,,0,0,0,1,0,1,-0.7589,L
S094,POWERGRID,2022-01-24 12:55:00+05:30,-0.1695,-0.0959,0,,2.9189,37.5,-0.8643,0,0.9213,1.0,9,0,1,0,9,10,-0.9464,L
S095,POWERGRID,2022-01-24 13:50:00+05:30,-0.1282,-0.1185,1,1.0,0.0724,33.33,4.0,0,0.8635,,0,0,1,1,0,1,-1.0357,L
S096,POWERGRID,2022-01-24 14:00:00+05:30,-0.109,-0.1282,0,,1.2407,60.0,-0.7248,0,1.7388,1.0,3,1,0,0,3,4,0.55,EOD+
S097,POWERGRID,2022-01-24 14:25:00+05:30,-0.0369,-0.1396,0,,0.2601,72.73,-0.2727,0,1.5088,1.0,1,0,0,0,1,2,0.4,EOD+
S098,POWERGRID,2022-01-24 14:40:00+05:30,0.0754,-0.0369,1,1.0,0.5122,41.67,0.1667,0,1.1038,,0,0,1,1,0,1,0.45,EOD+
S099,POWERGRID,2022-01-24 14:50:00+05:30,0.0176,0.0674,0,,0.627,0.0,-0.3151,0,1.3081,1.0,1,1,1,0,1,2,0.45,EOD+
S100,POWERGRID,2022-01-25 09:15:00+05:30,,,0,,0.8842,20.55,0.4583,0,3.6271,,0,1,0,1,0,1,3.6643,W
