signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S402,ONGC,2022-04-12 13:35:00+05:30,-0.0669,-0.0456,0,,2.851,33.33,-0.8465,0,1.7631,1.0,9,1,0,0,0,9,10,2022-04-12 14:20:00+05:30,2022-04-12 14:25:00+05:30,2022-04-12 15:00:00+05:30,153.15,152.29285714285714,154.69285714285712,0.65,EOD+
S403,ONGC,2022-04-13 11:00:00+05:30,0.5143,0.6862,21,4.0,0.134,66.67,1.2222,0,0.5796,,0,0,0,1,1,0,1,2022-04-13 11:00:00+05:30,2022-04-13 11:05:00+05:30,2022-04-13 11:55:00+05:30,157.35,156.51071428571427,158.8607142857143,-0.8393,L
S404,ONGC,2022-04-13 11:25:00+05:30,0.1272,0.2674,4,4.0,0.3367,40.0,0.0526,0,0.3984,,0,1,0,1,1,0,1,2022-04-13 11:25:00+05:30,2022-04-13 11:30:00+05:30,2022-04-13 11:55:00+05:30,157.2,156.49464285714282,158.46964285714287,-0.7054,L
S405,ONGC,2022-04-13 11:45:00+05:30,-0.0207,0.0954,0,,2.0488,55.56,-0.6667,0,1.1472,0.0,9,0,1,1,0,9,10,2022-04-13 12:30:00+05:30,2022-04-13 12:35:00+05:30,2022-04-13 15:00:00+05:30,157.15,156.41785714285714,158.46785714285718,0.5,EOD+
S406,ONGC,2022-04-13 12:40:00+05:30,-0.0542,-0.0924,0,,0.3336,16.67,-0.2157,0,0.571,0.0,3,1,0,1,0,3,4,2022-04-13 12:55:00+05:30,2022-04-13 13:00:00+05:30,2022-04-13 15:00:00+05:30,156.85,155.89464285714286,158.56964285714284,0.8,EOD+
S407,ONGC,2022-04-13 14:20:00+05:30,0.097,0.1368,16,8.0,0.326,42.86,1.3529,0,0.8952,,0,1,0,1,1,0,1,2022-04-13 14:20:00+05:30,2022-04-13 14:25:00+05:30,2022-04-13 15:00:00+05:30,157.35,156.6982142857143,158.52321428571426,0.3,EOD+
S408,ONGC,2022-04-18 10:15:00+05:30,0.3515,0.4277,12,11.0,0.0031,92.86,19.0,0,0.4085,,0,1,0,0,1,0,1,2022-04-18 10:15:00+05:30,2022-04-18 10:20:00+05:30,2022-04-18 15:00:00+05:30,159.35,157.35,162.95,-0.15,EOD-
S409,ONGC,2022-04-18 10:25:00+05:30,0.3151,0.3957,0,,0.4273,77.78,-0.7872,0,0.244,0.0,1,1,1,0,0,1,2,2022-04-18 10:30:00+05:30,2022-04-18 10:35:00+05:30,2022-04-18 15:00:00+05:30,159.7,158.325,162.17499999999998,-0.5,EOD-
S410,ONGC,2022-04-18 10:40:00+05:30,0.3238,0.3151,0,,0.2872,25.0,-0.1667,0,0.1348,,0,1,0,1,1,0,1,2022-04-18 10:40:00+05:30,2022-04-18 10:45:00+05:30,2022-04-18 12:50:00+05:30,159.85,158.80535714285713,161.73035714285712,-1.0446,L
S411,ONGC,2022-04-18 10:50:00+05:30,0.3546,0.3037,0,,1.6812,72.73,-0.8577,0,0.5486,1.0,9,0,0,1,0,9,10,2022-04-18 11:35:00+05:30,2022-04-18 11:40:00+05:30,2022-04-18 13:05:00+05:30,159.65,158.60535714285714,161.53035714285713,-1.0446,L
S412,ONGC,2022-04-18 11:45:00+05:30,-0.1191,-0.1018,0,,0.4338,0.0,-0.5455,0,0.6432,1.0,1,0,0,1,0,1,2,2022-04-18 11:50:00+05:30,2022-04-18 11:55:00+05:30,2022-04-18 12:50:00+05:30,159.6,158.9660714285714,160.74107142857144,-0.6339,L
S413,ONGC,2022-04-18 12:00:00+05:30,-0.0564,-0.1191,0,,1.4313,28.57,-0.2701,0,1.1583,,0,1,0,0,1,0,1,2022-04-18 12:00:00+05:30,2022-04-18 12:05:00+05:30,2022-04-18 12:50:00+05:30,159.55,158.9517857142857,160.62678571428577,-0.5982,L
