date,time,symbol,open,high,low,close,volume,MA20,MA50,MA100,MA200,Price_Above_MA50,Price_Above_MA100,Price_Above_MA200,MA20_Above_MA50,MA20_Above_MA100,MA20_Above_MA200,Distance_MA20_%,Distance_MA50_%
2024-12-30,09:32:00,PNB,101.28,101.5,101.27,101.34,48636,101.657,101.93699999999998,102.11810000000001,102.3856,False,False,False,False,False,False,-0.31,-0.59
2024-12-30,09:31:00,PNB,101.23,101.34,101.18,101.28,14444,101.6125,101.92040000000001,102.1099,102.38034999999999,False,False,False,False,False,False,-0.33,-0.63
2024-12-30,09:30:00,PNB,101.26,101.3,101.15,101.23,57531,101.565,101.90379999999999,102.101,102.37565000000001,False,False,False,False,False,False,-0.33,-0.66
2024-12-30,09:29:00,PNB,101.33,101.38,101.23,101.23,28118,101.52199999999999,101.8854,102.09280000000001,102.37055000000001,False,False,False,False,False,False,-0.29,-0.64
2024-12-30,09:28:00,PNB,101.3,101.45,101.25,101.36,105588,101.4865,101.8696,102.0858,102.36585000000001,False,False,False,False,False,False,-0.12,-0.5
2024-12-30,09:27:00,PNB,101.18,101.47,101.17,101.3,133524,101.4565,101.8524,102.07880000000002,102.36075000000001,False,False,False,False,False,False,-0.15,-0.54
2024-12-30,09:26:00,PNB,101.03,101.18,101.02,101.18,23560,101.4205,101.83239999999999,102.0702,102.35475000000001,False,False,False,False,False,False,-0.24,-0.64
2024-12-30,09:25:00,PNB,101.04,101.15,100.95,101.02,61512,101.38000000000001,101.81020000000001,102.06009999999998,102.3476,False,False,False,False,False,False,-0.36,-0.78
2024-12-30,09:24:00,PNB,101.03,101.1,100.95,101.04,116302,101.3455,101.7884,102.0505,102.34119999999999,False,False,False,False,False,False,-0.3,-0.74
2024-12-30,09:23:00,PNB,101.05,101.1,101.01,101.03,100532,101.31649999999999,101.76559999999999,102.04060000000001,102.33445,False,False,False,False,False,False,-0.28,-0.72
2024-12-30,09:22:00,PNB,101.24,101.25,101.05,101.06,25140,101.291,101.7436,102.0298,102.32764999999999,False,False,False,False,False,False,-0.23,-0.67
2024-12-30,09:21:00,PNB,101.44,101.55,101.09,101.2,81067,101.261,101.7216,102.02000000000002,102.32189999999999,False,False,False,False,False,False,-0.06,-0.51
