trial,cagr,gate_logic,active_filters,thresh_PF8,thresh_PF9,thresh_VF3,thresh_TF4_lo,thresh_TF4_hi,thresh_MF4,thresh_VL1_vol,use_PF1,use_PF2,use_PF3,use_PF4,use_PF5,use_PF6,use_PF7,use_PF8,dir_PF8,use_PF9,use_VF1,use_VF2,use_VF3,use_TF1,use_TF2,use_TF3,dir_TF3,use_TF4,use_VL1,use_VL2,use_MF1,use_MF2,use_MF3,use_MF4,dir_MF4,use_MF5,dir_VL1,dir_PF9
2652,2.1028,OR,TF3|MF4,0.8433990891001177,1.2524011646441706,0.48926695232871487,-0.04341289477368118,0.04915659434449728,1.2676563665206495,1.3053492904822928,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2147,2.0598,OR,TF3|VL1|MF4,0.8194681211134042,1.252434477296835,0.3341601415432368,-0.03070033961269159,0.023791196775223414,1.2282764889149391,1.4357046098042585,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2465,2.058,OR,TF3|VL1|MF4,0.7263478883831452,1.2648364660628544,0.5184202081083873,-0.04669461272063791,0.04684177225360693,1.2289793031845322,1.4563739974759582,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2089,2.0247,OR,TF3|VL1|MF4,0.7131044799591004,1.0908869887826453,0.3345852219455255,-0.03980341271142853,0.06768092329761412,1.2956662439422737,1.315409086598908,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2125,2.02,OR,TF3|VL1|MF4,0.7402037737550757,1.07164383669304,0.3171596244942547,-0.04528420594087074,0.054335392241537266,1.2321032650686046,1.4504034198612832,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2841,1.9527,OR,TF3|MF4,0.7085121368821529,1.0650734828762183,0.44734860269062493,-0.0017774446966163059,0.06133865412075677,1.2233307936866518,1.3346476894098276,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2238,1.9315,OR,TF3|VL1|MF4,0.7036193181141294,1.1158696393548586,0.36645901460837,-0.019992584241146624,0.054090172749981645,1.2988670600627723,1.2836669910347598,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2257,1.9077,OR,TF3|VL1|MF4,0.7195560143514781,1.114875189443897,0.41957851559466997,-0.004701347310463851,0.06549133424137563,1.2727855109023143,1.320773061425544,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2383,1.9044,OR,PF9|TF3|VL1|MF4,0.7513864424283305,1.13328081592013,0.39927039294310196,-0.0016981814762092535,0.06750995513559338,1.2975301677640259,1.3900977170380129,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False
2752,1.8967,OR,TF3|VL1|MF4,0.7003807676797967,1.1223868498785832,0.31565201817695376,-0.04973582468496843,0.0858107373070156,1.2714112380727358,1.3166947577178296,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
