Price,Close,High,Low,Open,Volume,MA20,MA50,EMA200,ADX,Actual_Regime,GSS_Score,GSS_Prediction,Match
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,,,
Date,,,,,,,,,,,,,
2023-01-12,17858.19921875,17945.80078125,17761.650390625,17920.849609375,227800,18093.37490234375,18297.50796875,17541.010571748313,0.0,BEAR,10,BEAR,True
2023-01-13,17956.599609375,17999.349609375,17774.25,17867.5,256700,18077.7548828125,18295.5859765625,17545.172192753293,0.0,BEAR,10,BEAR,True
2023-01-16,17894.849609375,18049.650390625,17853.650390625,18033.150390625,206200,18051.47490234375,18291.1399609375,17548.67356620282,0.0,BEAR,10,BEAR,True
2023-01-17,18053.30078125,18072.05078125,17886.94921875,17922.80078125,219100,18034.87490234375,18288.1499609375,17553.72615785166,0.0,SIDEWAYS,10,BEAR,False
2023-01-18,18165.349609375,18183.75,18032.44921875,18074.30078125,255800,18033.18740234375,18288.316953125,17559.84967045236,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-01-19,18107.849609375,18155.19921875,18063.75,18119.80078125,237800,18032.21240234375,18289.9099609375,17565.335852603697,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-01-20,18027.650390625,18145.44921875,18016.19921875,18115.599609375,237200,18043.2548828125,18283.468984375,17569.96393153928,0.0,BEAR,30,SIDEWAYS,False
2023-01-23,18118.55078125,18162.599609375,18063.44921875,18118.44921875,202500,18048.45244140625,18279.2569921875,17575.455322435846,0.0,SIDEWAYS,10,BEAR,False
2023-01-24,18118.30078125,18201.25,18078.650390625,18183.94921875,216900,18047.75244140625,18273.555,17580.888916601372,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-01-25,17891.94921875,18100.599609375,17846.150390625,18093.349609375,257200,18036.22490234375,18263.2009765625,17584.00228032343,0.0,BEAR,30,SIDEWAYS,False
2023-01-27,17604.349609375,17884.75,17493.55078125,17877.19921875,476300,18006.8923828125,18248.4099609375,17584.205922260346,0.0,BEAR,10,BEAR,True
2023-01-30,17648.94921875,17709.150390625,17405.55078125,17541.94921875,432400,17984.0748046875,18235.2359375,17584.85385423657,0.0,BEAR,10,BEAR,True
2023-01-31,17662.150390625,17735.69921875,17537.55078125,17731.44921875,398300,17957.30986328125,18225.2799609375,17585.627370921015,0.0,BEAR,10,BEAR,True
2023-02-01,17616.30078125,17972.19921875,17353.400390625,17811.599609375,512900,17926.49736328125,18212.7219921875,17585.934306343952,0.0,BEAR,10,BEAR,True
2023-02-02,17610.400390625,17653.900390625,17445.94921875,17517.099609375,490100,17904.869921875,18199.585,17586.17911397946,0.0,BEAR,10,BEAR,True
2023-02-03,17854.05078125,17870.30078125,17584.19921875,17721.75,424100,17897.96494140625,18186.9840234375,17588.8592884178,0.0,BEAR,10,BEAR,True
2023-02-06,17764.599609375,17823.69921875,17698.349609375,17818.55078125,282500,17893.2224609375,18172.021015625,17590.617550967196,0.0,BEAR,10,BEAR,True
2023-02-07,17721.5,17811.150390625,17652.55078125,17790.099609375,354400,17874.2375,18155.196015625,17591.926943903465,0.0,BEAR,10,BEAR,True
2023-02-08,17871.69921875,17898.69921875,17744.150390625,17750.30078125,291000,17872.11494140625,18140.268984375,17594.72573035434,0.0,BEAR,10,BEAR,True
