symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
AXISBANK,Model B,train,COMBINED baseline,5613,537.1,1.056,-3045.59,0.744
AXISBANK,Model B,train,COMBINED gated,2791,-309.36,0.939,-2095.06,0.662
AXISBANK,Model B,test,SHORT baseline,982,-17.87,0.992,-1136.65,0.629
AXISBANK,Model B,test,SHORT gated,37,-109.53,0.276,-152.98,0.173
AXISBANK,Model B,test,LONG baseline,907,-122.59,0.945,-1159.36,0.6
AXISBANK,Model B,test,LONG gated,869,-125.19,0.941,-1117.9,0.594
AXISBANK,Model B,test,COMBINED baseline,1889,-140.46,0.97,-2296.01,0.615
AXISBANK,Model B,test,COMBINED gated,906,-234.73,0.897,-1270.88,0.567
BAJFINANCE,Model A,train,SHORT baseline,1149,249.21,1.14,-586.29,0.744
BAJFINANCE,Model A,train,SHORT gated,178,87.13,1.311,-44.29,0.875
BAJFINANCE,Model A,train,LONG baseline,1166,-329.29,0.844,-1179.35,0.559
BAJFINANCE,Model A,train,LONG gated,963,-305.25,0.824,-1004.65,0.543
BAJFINANCE,Model A,train,COMBINED baseline,2315,-80.07,0.979,-1765.64,0.644
BAJFINANCE,Model A,train,COMBINED gated,1141,-218.13,0.892,-1048.94,0.589
BAJFINANCE,Model A,test,SHORT baseline,371,14.28,1.019,-353.0,0.638
BAJFINANCE,Model A,test,SHORT gated,71,-0.09,0.999,-70.56,0.611
BAJFINANCE,Model A,test,LONG baseline,363,68.32,1.09,-289.87,0.703
BAJFINANCE,Model A,test,LONG gated,301,99.23,1.161,-197.66,0.753
BAJFINANCE,Model A,test,COMBINED baseline,734,82.6,1.055,-642.87,0.671
BAJFINANCE,Model A,test,COMBINED gated,372,99.14,1.132,-268.22,0.727
BAJFINANCE,MA-alone,train,SHORT baseline,1111,225.09,1.133,-584.65,0.733
BAJFINANCE,MA-alone,train,SHORT gated,178,6.05,1.022,-134.01,0.626
BAJFINANCE,MA-alone,train,LONG baseline,1125,-260.16,0.869,-1082.41,0.571
BAJFINANCE,MA-alone,train,LONG gated,941,-291.27,0.826,-968.82,0.544
BAJFINANCE,MA-alone,train,COMBINED baseline,2236,-35.07,0.99,-1667.06,0.646
BAJFINANCE,MA-alone,train,COMBINED gated,1119,-285.21,0.853,-1102.84,0.556
BAJFINANCE,MA-alone,test,SHORT baseline,358,8.08,1.011,-346.81,0.637
BAJFINANCE,MA-alone,test,SHORT gated,30,24.33,1.48,-8.08,0.883
BAJFINANCE,MA-alone,test,LONG baseline,348,59.07,1.08,-284.84,0.7
BAJFINANCE,MA-alone,test,LONG gated,328,56.52,1.08,-265.59,0.705
BAJFINANCE,MA-alone,test,COMBINED baseline,706,67.16,1.046,-631.65,0.668
BAJFINANCE,MA-alone,test,COMBINED gated,358,80.85,1.107,-273.67,0.718
BAJFINANCE,Model B,train,SHORT baseline,1111,225.09,1.133,-584.65,0.733
BAJFINANCE,Model B,train,SHORT gated,174,21.38,1.085,-114.39,0.661
BAJFINANCE,Model B,train,LONG baseline,1125,-260.16,0.869,-1082.41,0.571
BAJFINANCE,Model B,train,LONG gated,939,-262.04,0.842,-938.98,0.555
BAJFINANCE,Model B,train,COMBINED baseline,2236,-35.07,0.99,-1667.06,0.646
BAJFINANCE,Model B,train,COMBINED gated,1113,-240.66,0.874,-1053.37,0.569
BAJFINANCE,Model B,test,SHORT baseline,358,8.08,1.011,-346.81,0.637
BAJFINANCE,Model B,test,SHORT gated,42,22.84,1.317,-21.8,0.779
BAJFINANCE,Model B,test,LONG baseline,348,59.07,1.08,-284.84,0.7
BAJFINANCE,Model B,test,LONG gated,318,80.01,1.119,-232.0,0.731
BAJFINANCE,Model B,test,COMBINED baseline,706,67.16,1.046,-631.65,0.668
BAJFINANCE,Model B,test,COMBINED gated,360,102.86,1.138,-253.81,0.736
BANDHANBNK,Model A,train,SHORT baseline,1967,917.73,1.412,183.34,1.07
BANDHANBNK,Model A,train,SHORT gated,1257,716.46,1.526,251.39,1.156
BANDHANBNK,Model A,train,LONG baseline,1999,-529.44,0.821,-1271.71,0.633
BANDHANBNK,Model A,train,LONG gated,738,-15.09,0.986,-291.32,0.761
BANDHANBNK,Model A,train,COMBINED baseline,3966,388.3,1.075,-1088.37,0.822
BANDHANBNK,Model A,train,COMBINED gated,1995,701.38,1.291,-39.94,0.986
BANDHANBNK,Model A,test,SHORT baseline,662,104.77,1.343,-15.27,0.959
BANDHANBNK,Model A,test,SHORT gated,450,77.52,1.384,-3.98,0.984
BANDHANBNK,Model A,test,LONG baseline,675,-62.65,0.824,-185.98,0.577
BANDHANBNK,Model A,test,LONG gated,206,-10.72,0.901,-48.52,0.631
BANDHANBNK,Model A,test,COMBINED baseline,1337,42.12,1.064,-201.25,0.753
BANDHANBNK,Model A,test,COMBINED gated,656,66.81,1.216,-52.51,0.862
BANDHANBNK,MA-alone,train,SHORT baseline,1918,914.21,1.424,208.33,1.082
BANDHANBNK,MA-alone,train,SHORT gated,1800,842.23,1.426,174.05,1.074
BANDHANBNK,MA-alone,train,LONG baseline,1964,-500.76,0.828,-1220.07,0.64
BANDHANBNK,MA-alone,train,LONG gated,144,-78.45,0.754,-126.65,0.641
BANDHANBNK,MA-alone,train,COMBINED baseline,3882,413.44,1.082,-1011.74,0.829
BANDHANBNK,MA-alone,train,COMBINED gated,1944,763.78,1.333,47.41,1.018
BANDHANBNK,MA-alone,test,SHORT baseline,650,86.58,1.285,-30.68,0.918
BANDHANBNK,MA-alone,test,SHORT gated,647,87.02,1.29,-29.67,0.92
BANDHANBNK,MA-alone,test,LONG baseline,658,-51.08,0.85,-170.46,0.595
