symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,zpnl
TATAMOTORS,2019-10-04 14:00:00,83.55,82.85714285714285,85.45535714285717,2019-10-04 15:00:00,83.3,EOD-,-0.25,-0.33638174109999996
TATAMOTORS,2019-10-07 10:00:00,82.35,81.02857142857142,85.98392857142858,2019-10-07 14:00:00,81.02857142857142,L,-1.3214285714285694,-1.4058801174142836
TATAMOTORS,2019-10-09 09:35:00,81.0,80.10714285714286,83.45535714285715,2019-10-09 09:40:00,80.10714285714286,L,-0.8928571428571388,-0.9761852309285673
TATAMOTORS,2019-10-09 11:25:00,80.15,79.5,81.93750000000001,2019-10-09 14:00:00,81.93750000000001,W,1.7875000000000085,1.7033331549750086
TATAMOTORS,2019-10-10 10:50:00,81.4,80.63571428571429,83.50178571428573,2019-10-10 11:00:00,80.63571428571429,L,-0.7642857142857196,-0.8481105936428625
TATAMOTORS,2019-10-10 12:05:00,80.8,80.13571428571429,82.6267857142857,2019-10-10 15:00:00,80.6,EOD-,-0.20000000000000284,-0.2835653284000028
TATAMOTORS,2019-10-11 10:40:00,81.65,80.7357142857143,84.16428571428573,2019-10-11 15:00:00,83.65,EOD+,2.0,1.9141431382
TATAMOTORS,2019-10-14 11:30:00,87.8,87.05714285714286,89.84285714285713,2019-10-14 15:00:00,88.45,EOD+,0.6500000000000057,0.5586387925000057
TATAMOTORS,2019-10-15 10:55:00,86.5,85.67857142857143,88.75892857142857,2019-10-15 12:25:00,85.67857142857143,L,-0.8214285714285694,-0.9104994402142836
TATAMOTORS,2019-10-15 13:50:00,85.9,85.30714285714286,87.53035714285716,2019-10-15 14:15:00,87.53035714285716,W,1.6303571428571502,1.5403351712035787
TATAMOTORS,2019-10-16 09:25:00,87.45,86.54285714285714,89.94464285714285,2019-10-16 12:40:00,86.54285714285714,L,-0.9071428571428584,-0.9971427696714298
TATAMOTORS,2019-10-16 14:25:00,86.55,85.92857142857143,88.25892857142856,2019-10-16 15:00:00,86.45,EOD-,-0.09999999999999432,-0.18958538799999433
TATAMOTORS,2019-10-17 09:50:00,86.75,85.9857142857143,88.85178571428571,2019-10-17 14:10:00,88.85178571428571,W,2.101785714285711,2.010580925317854
TATAMOTORS,2019-10-18 12:05:00,94.9,93.92857142857143,97.57142857142857,2019-10-18 15:00:00,94.5,EOD-,-0.4000000000000057,-0.4980419964000057
TATAMOTORS,2019-10-22 13:05:00,92.35,91.30714285714285,95.21785714285714,2019-10-22 13:20:00,91.30714285714285,L,-1.0428571428571445,-1.137845486228573
TATAMOTORS,2019-10-22 14:40:00,91.9,91.16428571428573,93.9232142857143,2019-10-22 14:50:00,91.16428571428573,L,-0.7357142857142804,-0.8304335169571376
TATAMOTORS,2019-10-23 12:30:00,91.25,90.6,93.03750000000001,2019-10-23 12:35:00,90.6,L,-0.6500000000000057,-0.7441009311000056
TATAMOTORS,2019-10-23 14:10:00,91.0,90.28571428571429,92.96428571428571,2019-10-23 15:00:00,91.3,EOD+,0.29999999999999716,0.20554868619999717
TATAMOTORS,2019-10-24 10:35:00,92.1,91.00714285714285,95.10535714285713,2019-10-24 13:20:00,91.00714285714285,L,-1.0928571428571416,-1.1875544629285701
TATAMOTORS,2019-10-25 14:05:00,88.15,87.54285714285716,89.81964285714285,2019-10-25 15:00:00,88.4,EOD+,0.25,0.15853282070000002
TATAMOTORS,2019-10-29 13:25:00,115.05,114.36428571428571,116.93571428571428,2019-10-29 13:50:00,116.93571428571428,W,1.8857142857142861,1.7653346066571434
TATAMOTORS,2019-10-30 10:45:00,116.9,114.97857142857143,122.18392857142858,2019-10-30 15:00:00,117.95,EOD+,1.0499999999999972,0.9282401008999972
TATAMOTORS,2019-10-31 09:35:00,118.5,116.85714285714285,123.01785714285715,2019-10-31 10:55:00,123.01785714285715,W,4.517857142857153,4.3922156401785815
TATAMOTORS,2019-10-31 11:30:00,121.65,120.6357142857143,124.43928571428572,2019-10-31 14:35:00,120.6357142857143,L,-1.0142857142857054,-1.1396416751428482
TATAMOTORS,2019-11-01 10:50:00,121.3,119.80714285714285,125.40535714285714,2019-11-01 15:00:00,120.95,EOD-,-0.3499999999999943,-0.4754195034999943
TATAMOTORS,2019-11-04 13:10:00,119.2,118.33571428571427,121.57678571428573,2019-11-04 15:00:00,118.95,EOD-,-0.25,-0.3733084389
TATAMOTORS,2019-11-05 13:45:00,118.9,117.69285714285715,122.21964285714286,2019-11-05 15:00:00,118.3,EOD-,-0.6000000000000085,-0.7227732032000085
TATAMOTORS,2019-11-06 09:35:00,118.7,117.58571428571429,121.7642857142857,2019-11-06 15:00:00,120.5,EOD+,1.7999999999999972,1.675894584799997
TATAMOTORS,2019-11-07 12:50:00,116.9,116.05000000000001,119.2375,2019-11-07 12:55:00,119.2375,W,2.3374999999999915,2.2149142906749915
TATAMOTORS,2019-11-07 13:55:00,117.65,116.29285714285714,121.38214285714287,2019-11-07 15:00:00,117.75,EOD+,0.09999999999999432,-0.021927422400005683
