symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,touch_dt,atr_pct_at_touch,hidden_atr_pct_rollmean40,bucket
TATAMOTORS,2023-04-19 11:45:00,326.4,327.35,324.26249999999993,2023-04-19 13:40:00,324.26249999999993,W,2.137500000000045,2023-04-19 11:40:00,0.1455269607843169,0.2125084702412865,Mid vol
TATAMOTORS,2023-04-21 10:15:00,324.6,326.97857142857146,319.2482142857143,2023-04-21 15:00:00,324.6,EOD-,0.0,2023-04-21 10:10:00,0.3663850013203058,0.2176944034996985,Mid vol
TATAMOTORS,2023-04-25 09:25:00,326.75,327.97857142857146,323.98571428571427,2023-04-25 15:00:00,326.45,EOD+,0.3000000000000113,2023-04-25 09:20:00,0.1879986883812443,0.1399782089687987,Low vol
TATAMOTORS,2023-04-26 11:00:00,327.55,328.62857142857143,325.12321428571425,2023-04-26 11:30:00,328.62857142857143,L,-1.078571428571422,2023-04-26 10:55:00,0.1647176891526326,0.1740785722590021,Low vol
TATAMOTORS,2023-04-26 13:25:00,329.1,329.9642857142857,327.1553571428572,2023-04-26 14:00:00,329.9642857142857,L,-0.8642857142856997,2023-04-26 13:20:00,0.1313105004991971,0.1664393039844932,Low vol
TATAMOTORS,2023-04-26 14:25:00,329.25,329.9642857142857,327.6428571428572,2023-04-26 15:00:00,329.05,EOD+,0.1999999999999886,2023-04-26 14:20:00,0.1084716346675332,0.141496715947608,Low vol
TATAMOTORS,2023-04-27 09:35:00,328.95,329.9714285714286,326.65178571428567,2023-04-27 09:35:00,329.9714285714286,L,-1.0214285714286009,2023-04-27 09:30:00,0.1552559008099383,0.123268577978156,Low vol
TATAMOTORS,2023-04-27 12:20:00,330.6,331.45714285714286,328.67142857142863,2023-04-27 13:15:00,331.45714285714286,L,-0.8571428571428328,2023-04-27 12:15:00,0.1296344309048446,0.1677570271432562,Low vol
TATAMOTORS,2023-04-28 09:35:00,330.2,331.35,327.61249999999995,2023-04-28 10:05:00,331.35,L,-1.150000000000034,2023-04-28 09:30:00,0.1741368867353146,0.1066593485649393,Low vol
TATAMOTORS,2023-04-28 12:40:00,334.9,335.8,332.87499999999994,2023-04-28 14:20:00,332.87499999999994,W,2.025000000000034,2023-04-28 12:35:00,0.134368468199464,0.2079865852602846,Mid vol
TATAMOTORS,2023-05-02 09:20:00,331.15,332.6928571428571,327.6785714285714,2023-05-02 09:45:00,327.6785714285714,W,3.4714285714285893,2023-05-02 09:15:00,0.2329544228985572,0.1331630955544705,Low vol
TATAMOTORS,2023-05-02 11:40:00,329.45,330.5285714285714,327.0232142857143,2023-05-02 12:35:00,330.5285714285714,L,-1.078571428571422,2023-05-02 11:35:00,0.1637175817503676,0.2405874469196068,High vol
TATAMOTORS,2023-05-02 13:45:00,330.2,331.1285714285714,328.1107142857143,2023-05-02 14:05:00,331.1285714285714,L,-0.928571428571388,2023-05-02 13:40:00,0.1406074240719885,0.1661682480271248,Low vol
TATAMOTORS,2023-05-02 14:50:00,330.65,331.72142857142853,328.2392857142857,2023-05-02 15:00:00,329.75,EOD+,0.8999999999999773,2023-05-02 14:45:00,0.1620430386310604,0.136350377652843,Low vol
TATAMOTORS,2023-05-03 10:15:00,330.95,332.8285714285714,326.7232142857143,2023-05-03 14:55:00,332.8285714285714,L,-1.8785714285714332,2023-05-03 10:10:00,0.2836864132545202,0.1885676286893045,Mid vol
TATAMOTORS,2023-05-04 09:55:00,332.35,334.25714285714287,328.0589285714286,2023-05-04 15:00:00,331.1,EOD+,1.25,2023-05-04 09:50:00,0.2867883995703525,0.1797207210132957,Low vol
TATAMOTORS,2023-05-05 13:55:00,330.15,331.1428571428571,327.9160714285714,2023-05-05 14:20:00,331.1428571428571,L,-0.9928571428571332,2023-05-05 13:50:00,0.1503190223856371,0.1505569133765112,Low vol
TATAMOTORS,2023-05-08 14:40:00,342.85,344.16428571428577,339.8928571428571,2023-05-08 15:00:00,342.55,EOD+,0.3000000000000113,2023-05-08 14:35:00,0.1916706598054147,0.2403382908480492,High vol
TATAMOTORS,2023-05-09 12:45:00,349.05,350.27857142857147,346.2857142857143,2023-05-09 15:00:00,347.15,EOD+,1.900000000000034,2023-05-09 12:40:00,0.1759878854850926,0.270476006677474,High vol
TATAMOTORS,2023-05-10 10:45:00,348.75,350.43571428571425,344.95714285714286,2023-05-10 14:10:00,350.43571428571425,L,-1.6857142857142549,2023-05-10 10:40:00,0.2416794674859181,0.2409531572639139,High vol
TATAMOTORS,2023-05-11 10:05:00,350.15,351.9428571428571,346.11607142857144,2023-05-11 13:10:00,351.9428571428571,L,-1.7928571428571445,2023-05-11 10:00:00,0.2559396349546233,0.1811017398079296,Mid vol
TATAMOTORS,2023-05-11 14:40:00,351.8,353.05,348.9875,2023-05-11 15:00:00,351.25,EOD+,0.5500000000000114,2023-05-11 14:35:00,0.1776072747939767,0.17896466650405,Low vol
TATAMOTORS,2023-05-12 11:15:00,354.9,357.1714285714285,349.7892857142857,2023-05-12 14:20:00,357.1714285714285,L,-2.271428571428544,2023-05-12 11:10:00,0.3200096606690009,0.2694227865622732,High vol
TATAMOTORS,2023-05-15 11:20:00,366.5,368.37142857142857,362.2892857142857,2023-05-15 15:00:00,366.75,EOD-,-0.25,2023-05-15 11:15:00,0.2553108555837073,0.4785582456982569,High vol
TATAMOTORS,2023-05-16 10:55:00,367.2,368.4785714285714,364.3232142857143,2023-05-16 14:35:00,364.3232142857143,W,2.8767857142856883,2023-05-16 10:50:00,0.1740974167444731,0.2277406405763836,High vol
TATAMOTORS,2023-05-17 09:55:00,360.0,362.82142857142856,353.6517857142858,2023-05-17 14:25:00,353.6517857142858,W,6.348214285714221,2023-05-17 09:50:00,0.3917562581822476,0.2192811765577347,Mid vol
TATAMOTORS,2023-05-18 09:40:00,354.25,356.0285714285714,350.2482142857143,2023-05-18 14:15:00,350.2482142857143,W,4.001785714285688,2023-05-18 09:35:00,0.2509979436313049,0.2066328622976741,Mid vol
TATAMOTORS,2023-05-19 09:25:00,349.85,351.51428571428573,346.10535714285714,2023-05-19 10:55:00,351.51428571428573,L,-1.664285714285711,2023-05-19 09:20:00,0.2378570407725778,0.1723836736134544,Low vol
TATAMOTORS,2023-05-19 12:40:00,356.15,358.02142857142854,351.93928571428575,2023-05-19 13:00:00,358.02142857142854,L,-1.8714285714285663,2023-05-19 12:35:00,0.2625829341137283,0.3165570098427174,High vol
TATAMOTORS,2023-05-22 13:45:00,358.55,359.70000000000005,355.9625,2023-05-22 14:00:00,359.70000000000005,L,-1.150000000000034,2023-05-22 13:40:00,0.1603681494910067,0.1917302025316549,Mid vol
TATAMOTORS,2023-05-23 09:30:00,359.85,361.1928571428572,356.8285714285714,2023-05-23 09:45:00,361.1928571428572,L,-1.3428571428571558,2023-05-23 09:25:00,0.1865597586631225,0.1572210484475854,Low vol
TATAMOTORS,2023-05-23 13:05:00,363.0,363.82142857142856,361.1517857142858,2023-05-23 13:45:00,363.82142857142856,L,-0.8214285714285552,2023-05-23 13:00:00,0.1131756091800158,0.2209147743590398,Mid vol
TATAMOTORS,2023-05-24 11:10:00,362.3,363.6642857142857,359.23035714285714,2023-05-24 13:10:00,359.23035714285714,W,3.069642857142867,2023-05-24 11:05:00,0.1882812191948258,0.1865317835065258,Mid vol
