symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
BAJFINANCE,MA-alone,train,LONG baseline,1125,-260.16,0.869,-1082.41,0.571
BAJFINANCE,MA-alone,train,LONG gated (flipped),184,31.11,1.1,-113.58,0.716
BAJFINANCE,MA-alone,train,COMBINED baseline,2236,-35.07,0.99,-1667.06,0.646
BAJFINANCE,MA-alone,train,COMBINED gated (flipped),1117,250.14,1.144,-564.22,0.747
BAJFINANCE,MA-alone,test,SHORT baseline,358,8.08,1.011,-346.81,0.637
BAJFINANCE,MA-alone,test,SHORT gated (flipped),328,-16.25,0.976,-338.73,0.618
BAJFINANCE,MA-alone,test,LONG baseline,348,59.07,1.08,-284.84,0.7
BAJFINANCE,MA-alone,test,LONG gated (flipped),20,2.56,1.078,-19.25,0.595
BAJFINANCE,MA-alone,test,COMBINED baseline,706,67.16,1.046,-631.65,0.668
BAJFINANCE,MA-alone,test,COMBINED gated (flipped),348,-13.69,0.981,-357.98,0.617
BAJFINANCE,Model B,train,SHORT baseline,1111,225.09,1.133,-584.65,0.733
BAJFINANCE,Model B,train,SHORT gated (flipped),937,203.71,1.141,-470.26,0.746
BAJFINANCE,Model B,train,LONG baseline,1125,-260.16,0.869,-1082.41,0.571
BAJFINANCE,Model B,train,LONG gated (flipped),186,1.87,1.006,-143.43,0.656
BAJFINANCE,Model B,train,COMBINED baseline,2236,-35.07,0.99,-1667.06,0.646
BAJFINANCE,Model B,train,COMBINED gated (flipped),1123,205.59,1.116,-613.69,0.73
BAJFINANCE,Model B,test,SHORT baseline,358,8.08,1.011,-346.81,0.637
BAJFINANCE,Model B,test,SHORT gated (flipped),316,-14.76,0.978,-325.01,0.621
BAJFINANCE,Model B,test,LONG baseline,348,59.07,1.08,-284.84,0.7
BAJFINANCE,Model B,test,LONG gated (flipped),30,-20.94,0.67,-52.83,0.387
BAJFINANCE,Model B,test,COMBINED baseline,706,67.16,1.046,-631.65,0.668
BAJFINANCE,Model B,test,COMBINED gated (flipped),346,-35.7,0.951,-377.84,0.599
BANDHANBNK,Model A,train,SHORT baseline,1967,917.73,1.412,183.34,1.07
BANDHANBNK,Model A,train,SHORT gated (flipped),710,201.27,1.233,-68.04,0.933
BANDHANBNK,Model A,train,LONG baseline,1999,-529.44,0.821,-1271.71,0.633
BANDHANBNK,Model A,train,LONG gated (flipped),1261,-514.35,0.732,-980.39,0.564
BANDHANBNK,Model A,train,COMBINED baseline,3966,388.3,1.075,-1088.37,0.822
BANDHANBNK,Model A,train,COMBINED gated (flipped),1971,-313.08,0.887,-1048.43,0.679
BANDHANBNK,Model A,test,SHORT baseline,662,104.77,1.343,-15.27,0.959
BANDHANBNK,Model A,test,SHORT gated (flipped),212,27.25,1.263,-11.29,0.911
BANDHANBNK,Model A,test,LONG baseline,675,-62.65,0.824,-185.98,0.577
BANDHANBNK,Model A,test,LONG gated (flipped),469,-51.94,0.791,-137.46,0.554
BANDHANBNK,Model A,test,COMBINED baseline,1337,42.12,1.064,-201.25,0.753
BANDHANBNK,Model A,test,COMBINED gated (flipped),681,-24.69,0.93,-148.75,0.658
BANDHANBNK,MA-alone,train,SHORT baseline,1918,914.21,1.424,208.33,1.082
