symbol,config,fold_num,train_start,train_end,test_start,test_end,n,pf,pnl,zpnl,zpf
INDUSINDBK,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,129,0.814,-77.61,-210.79,0.58
INFY,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,122,1.077,27.87,-177.22,0.632
ITC,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,131,0.659,-25.32,-58.05,0.393
JSWSTEEL,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,118,0.89,-25.86,-105.65,0.627
NATIONALUM,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,120,0.785,-9.4,-20.65,0.594
NTPC,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,118,1.904,28.92,10.98,1.265
ONGC,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,108,1.014,0.49,-14.58,0.672
PNB,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,118,1.387,5.01,0.37,1.024
POWERGRID,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,107,1.944,26.06,8.52,1.233
RELIANCE,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,119,1.219,58.1,-87.23,0.752
SBIN,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,115,1.096,13.03,-47.48,0.729
SUNPHARMA,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,121,1.14,32.61,-79.63,0.735
TATAMOTORS,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,127,1.148,14.16,-25.92,0.785
TATASTEEL,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,131,0.935,-2.93,-17.18,0.683
TECHM,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,114,1.09,32.26,-113.49,0.744
VEDL,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,119,1.248,24.51,-9.09,0.923
WIPRO,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,120,1.089,5.12,-25.32,0.662
ADANIPORTS,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,63,1.844,142.23,64.67,1.302
ASHOKLEY,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,56,0.879,-1.75,-7.9,0.573
AXISBANK,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,74,0.714,-63.28,-148.29,0.456
BAJFINANCE,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,55,0.778,-22.71,-63.23,0.511
BANDHANBNK,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,58,1.378,10.54,-0.64,0.981
BHARTIARTL,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,66,0.677,-90.89,-187.93,0.454
CIPLA,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,52,1.109,16.91,-60.3,0.703
COALINDIA,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,52,0.933,-4.31,-25.78,0.665
DABUR,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,59,0.469,-50.26,-83.71,0.28
DIVISLAB,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,58,1.324,224.85,-77.56,0.912
HDFCBANK,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,58,0.925,-5.34,-54.87,0.485
HINDALCO,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,67,0.733,-36.06,-79.11,0.515
ICICIBANK,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,64,1.601,88.0,11.09,1.058
INDUSINDBK,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,61,1.093,17.72,-60.52,0.748
INFY,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,55,1.224,43.98,-52.98,0.792
ITC,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,52,1.229,9.05,-12.21,0.771
JSWSTEEL,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,61,1.032,4.75,-51.81,0.715
NATIONALUM,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,54,2.139,25.46,15.75,1.585
NTPC,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,60,1.36,17.29,-3.63,0.94
ONGC,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,53,1.064,2.08,-11.08,0.728
PNB,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,54,0.817,-2.82,-8.27,0.567
POWERGRID,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,70,0.7,-16.85,-37.68,0.462
RELIANCE,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,62,1.621,76.27,-8.58,0.948
SBIN,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,64,0.578,-53.57,-104.45,0.36
SUNPHARMA,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,56,0.677,-71.16,-165.63,0.413
TATAMOTORS,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,56,1.595,40.92,8.72,1.101
TATASTEEL,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,62,1.185,3.67,-5.18,0.791
TECHM,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,60,1.17,31.49,-59.21,0.748
VEDL,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,65,1.024,2.12,-23.19,0.778
WIPRO,config2_5y20mo,3,2018-06-01,2023-06-01,2023-06-01,2025-01-31,56,1.934,22.0,7.79,1.249
ADANIPORTS,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,113,0.688,-160.13,-330.34,0.474
ASHOKLEY,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,95,0.845,-6.52,-21.17,0.589
AXISBANK,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,94,1.467,100.63,-19.86,0.929
BAJFINANCE,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,96,1.12,25.42,-66.9,0.752
BANDHANBNK,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,105,0.705,-18.02,-36.72,0.499
BHARTIARTL,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,105,1.19,68.88,-133.54,0.726
CIPLA,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,100,1.18,46.48,-98.39,0.708
COALINDIA,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,114,0.879,-15.22,-64.75,0.596
DABUR,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,102,0.9,-11.06,-61.07,0.569
DIVISLAB,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,105,0.968,-47.03,-721.77,0.624
HDFCBANK,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,102,0.75,-44.58,-136.44,0.433
HINDALCO,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,93,0.942,-11.79,-93.66,0.63
ICICIBANK,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,98,0.779,-59.84,-196.5,0.458
INDUSINDBK,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,99,0.821,-45.47,-133.35,0.575
INFY,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,96,0.994,-1.4,-137.41,0.584
ITC,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,106,0.652,-24.38,-61.72,0.361
JSWSTEEL,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,110,0.871,-37.61,-168.01,0.545
NATIONALUM,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,94,1.586,41.98,12.43,1.142
NTPC,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,105,1.162,14.25,-25.13,0.775
ONGC,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,103,0.645,-26.05,-53.0,0.43
PNB,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,96,1.215,4.7,-5.88,0.789
POWERGRID,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,88,1.093,5.26,-21.51,0.704
RELIANCE,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,94,1.76,143.51,11.07,1.043
SBIN,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,101,1.251,44.22,-55.59,0.765
SUNPHARMA,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,114,0.682,-139.78,-345.56,0.4
TATAMOTORS,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,99,1.116,10.79,-29.97,0.745
TATASTEEL,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,97,1.052,1.95,-16.19,0.663
TECHM,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,100,1.082,28.5,-121.68,0.72
VEDL,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,104,1.006,0.65,-40.4,0.676
WIPRO,config2_5y20mo,4,2020-02-01,2025-02-01,2025-02-01,2026-07-31,98,1.36,14.63,-7.77,0.853
