date,ADANIPORTS,ASHOKLEY,AXISBANK,BANDHANBNK,BHARTIARTL,CIPLA,COALINDIA,DABUR,DIVISLAB,HDFCBANK,HINDALCO,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,NATIONALUM,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TECHM,VEDL,WIPRO
2024-11-11,down,down,down,down,down,down,down,down,up,up,down,up,down,down,down,up,up,down,down,down,down,down,up,down,down,down,up,down,up
2024-11-12,down,down,down,down,down,down,down,down,up,up,down,up,down,down,down,down,up,down,down,down,down,down,up,down,down,down,up,down,up
2024-11-13,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,up,down,down,down,down,down,up,down,down,down,up,down,up
2024-11-14,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,up,down,down,down,down,down,up,down,down,down,up,down,up
2024-11-18,down,down,down,down,down,down,down,down,up,down,down,down,down,down,down,down,up,down,down,down,down,down,up,down,down,down,up,down,up
2024-11-19,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up,down,up
2024-11-21,down,down,down,down,down,down,down,down,up,up,down,down,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up,down,up
2024-11-22,down,down,down,down,down,down,down,down,up,up,down,up,down,up,down,down,up,down,down,down,up,down,up,down,down,down,up,down,up
2024-11-25,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,down,up,down,down,up,up,down,up,down,down,down,up,down,up
2024-11-26,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,down,up,down,down,up,up,down,up,down,down,down,up,down,up
2024-11-27,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,down,up,down,down,up,up,down,up,down,down,down,up,down,up
2024-11-28,down,up,down,down,down,down,down,down,up,up,down,up,down,down,down,down,up,down,down,up,up,down,up,down,down,down,up,down,up
2024-11-29,down,up,down,down,down,down,down,down,up,up,down,up,down,down,down,down,up,down,down,up,down,down,up,down,down,down,up,down,up
2024-12-02,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,down,down,up,down,down,down,up,down,up
2024-12-03,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,down,down,up,down,down,down,up,down,up
2024-12-04,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,down,down,up,down,down,down,up,down,up
2024-12-05,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,down,down,up,down,down,down,up,up,up
2024-12-06,down,up,up,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,down,down,up,down,down,down,up,up,up
2024-12-09,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,up,down,up,down,down,down,up,up,up
2024-12-10,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,up,down,up,down,down,down,up,up,up
2024-12-11,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,up,down,down,up,up,down,up,down,down,down,up,up,up
2024-12-12,down,up,down,down,down,down,down,down,up,up,down,up,down,up,down,up,down,down,down,up,up,down,up,down,down,up,up,up,up
2024-12-13,down,up,down,down,up,down,down,down,down,up,down,up,down,up,down,up,down,down,down,up,up,down,up,down,down,down,up,up,up
2024-12-16,down,up,down,down,up,down,down,down,down,up,down,up,down,up,down,up,down,down,down,up,up,down,up,down,down,down,up,up,up
2024-12-17,down,up,down,down,down,down,down,down,down,up,down,up,down,up,down,down,down,down,down,up,up,down,up,down,down,down,up,up,up
2024-12-18,down,down,down,down,down,down,down,down,down,up,down,up,down,up,down,down,down,down,down,down,down,down,up,down,down,down,up,up,up
2024-12-19,down,down,down,down,down,down,down,down,down,up,down,up,down,up,down,down,down,down,down,down,down,down,up,down,down,down,up,up,up
2024-12-20,down,down,down,down,down,down,down,down,down,up,down,up,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up
2024-12-23,down,down,down,down,down,down,down,down,down,up,down,up,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up,up
2024-12-24,down,down,down,down,down,down,down,down,down,up,down,up,down,up,up,down,down,down,down,down,down,down,down,down,down,down,down,down,up
2024-12-26,down,down,down,down,down,down,down,down,down,up,down,up,down,up,up,down,down,down,down,down,down,down,down,up,down,down,down,down,up
2024-12-27,down,down,down,down,down,up,down,down,down,up,down,up,down,up,up,down,down,down,down,down,down,down,down,up,down,down,down,down,up
2024-12-30,down,up,down,down,down,up,down,down,up,up,down,up,down,up,up,down,down,down,down,down,down,down,down,up,down,down,up,down,up
2024-12-31,down,down,down,down,down,up,down,down,up,down,down,down,down,down,up,down,down,down,down,down,down,down,down,up,down,down,down,down,up
2025-01-01,down,up,down,down,down,up,down,down,up,up,down,down,down,up,up,down,down,down,down,down,down,down,down,up,down,down,down,down,up
2025-01-02,down,up,down,down,up,up,down,down,up,up,down,down,down,up,up,down,down,down,down,up,down,down,down,up,down,down,up,down,up
2025-01-03,down,up,down,down,up,up,down,up,up,down,down,down,down,up,up,down,down,down,up,up,down,down,down,up,down,down,down,down,up
