sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
4.0,2.5,63690,1.174,0.793,2.205,-3.197,17.5,40.9,16.7,24.9
4.0,3.0,61121,1.187,0.821,2.242,-2.597,18.3,34.3,21.3,26.2
4.0,3.5,59220,1.198,0.841,2.241,-2.182,18.8,28.6,25.6,26.9
4.0,4.0,57743,1.208,0.857,2.253,-1.876,19.3,23.8,29.7,27.2
4.0,4.5,56578,1.21,0.864,2.205,-1.723,19.6,19.6,33.2,27.5
4.0,5.0,55738,1.218,0.874,2.233,-1.555,19.9,16.2,36.2,27.7
4.0,5.5,55032,1.219,0.876,2.197,-1.489,20.1,13.3,38.9,27.7
4.0,6.0,54502,1.216,0.876,2.148,-1.47,20.2,11.0,41.1,27.8
4.5,2.0,67231,1.151,0.747,1.962,-3.977,13.3,49.8,11.6,25.3
4.5,2.5,63405,1.167,0.791,2.057,-3.116,14.3,41.3,16.9,27.5
4.5,3.0,60831,1.18,0.819,2.096,-2.548,15.0,34.6,21.5,28.8
4.5,3.5,58930,1.191,0.839,2.117,-2.143,15.5,28.9,25.9,29.7
4.5,4.0,57455,1.201,0.855,2.128,-1.855,15.9,24.0,30.1,30.1
4.5,4.5,56292,1.202,0.862,2.087,-1.706,16.1,19.9,33.6,30.4
4.5,5.0,55453,1.21,0.871,2.116,-1.545,16.3,16.4,36.6,30.6
4.5,5.5,54745,1.211,0.874,2.079,-1.481,16.5,13.5,39.3,30.7
4.5,6.0,54211,1.208,0.874,2.034,-1.464,16.6,11.1,41.5,30.7
5.0,2.0,67064,1.154,0.75,1.936,-3.815,10.9,50.1,11.7,27.3
5.0,2.5,63236,1.169,0.793,2.021,-3.0,11.7,41.5,17.0,29.7
5.0,3.0,60662,1.181,0.821,2.062,-2.455,12.3,34.8,21.7,31.2
5.0,3.5,58764,1.193,0.842,2.091,-2.06,12.7,29.1,26.1,32.1
5.0,4.0,57292,1.202,0.857,2.102,-1.781,13.0,24.2,30.3,32.5
5.0,4.5,56130,1.205,0.865,2.066,-1.634,13.3,20.0,33.9,32.9
5.0,5.0,55291,1.212,0.874,2.09,-1.482,13.5,16.5,36.9,33.1
5.0,5.5,54583,1.213,0.877,2.056,-1.42,13.6,13.6,39.6,33.2
5.0,6.0,54050,1.21,0.877,2.011,-1.406,13.7,11.2,41.9,33.3
5.5,2.0,66952,1.148,0.748,1.837,-3.777,9.0,50.2,11.8,29.0
5.5,2.5,63123,1.162,0.79,1.915,-2.994,9.7,41.7,17.1,31.5
5.5,3.0,60549,1.175,0.818,1.963,-2.456,10.2,34.9,21.8,33.1
5.5,3.5,58650,1.187,0.839,2.002,-2.063,10.5,29.2,26.2,34.0
5.5,4.0,57177,1.196,0.854,2.017,-1.789,10.8,24.3,30.4,34.5
5.5,4.5,56016,1.199,0.862,1.99,-1.638,11.0,20.1,34.0,34.9
5.5,5.0,55175,1.207,0.872,2.017,-1.488,11.1,16.6,37.1,35.2
5.5,5.5,54469,1.208,0.875,1.988,-1.425,11.2,13.6,39.8,35.3
5.5,6.0,53934,1.205,0.874,1.941,-1.414,11.3,11.2,42.1,35.4
6.0,2.0,66867,1.147,0.747,1.806,-3.743,7.5,50.4,11.8,30.3
6.0,2.5,63039,1.161,0.79,1.891,-2.965,8.0,41.8,17.2,33.0
6.0,3.0,60460,1.175,0.819,1.949,-2.425,8.4,35.0,21.9,34.7
